[framework][20:26:58,900-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Parsing configuration file [struts-default.xml] 
  [framework][20:26:59,059-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Parsing configuration file [struts-plugin.xml] 
  [framework][20:26:59,081-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Parsing configuration file [struts.xml] 
  [framework][20:26:59,087-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (spring) for (com.opensymphony.xwork2.ObjectFactory) 
  [framework][20:26:59,088-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.ActionFactory) 
  [framework][20:26:59,089-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.ResultFactory) 
  [framework][20:26:59,089-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.ConverterFactory) 
  [framework][20:26:59,090-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.InterceptorFactory) 
  [framework][20:26:59,090-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.ValidatorFactory) 
  [framework][20:26:59,091-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.factory.UnknownHandlerFactory) 
  [framework][20:26:59,092-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.FileManagerFactory) 
  [framework][20:26:59,092-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.XWorkConverter) 
  [framework][20:26:59,092-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.CollectionConverter) 
  [framework][20:26:59,093-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.ArrayConverter) 
  [framework][20:26:59,094-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.DateConverter) 
  [framework][20:26:59,094-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.NumberConverter) 
  [framework][20:26:59,095-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.impl.StringConverter) 
  [framework][20:26:59,095-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.ConversionPropertiesProcessor) 
  [framework][20:26:59,096-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.ConversionFileProcessor) 
  [framework][20:26:59,097-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.ConversionAnnotationProcessor) 
  [framework][20:26:59,097-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.TypeConverterCreator) 
  [framework][20:26:59,098-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.TypeConverterHolder) 
  [framework][20:26:59,099-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.TextProvider) 
  [framework][20:26:59,099-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.LocaleProvider) 
  [framework][20:26:59,099-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.ActionProxyFactory) 
  [framework][20:26:59,100-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.conversion.ObjectTypeDeterminer) 
  [framework][20:26:59,100-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.dispatcher.mapper.ActionMapper) 
  [framework][20:26:59,100-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (jakarta) for (org.apache.struts2.dispatcher.multipart.MultiPartRequest) 
  [framework][20:26:59,101-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.views.freemarker.FreemarkerManager) 
  [framework][20:26:59,102-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.components.UrlRenderer) 
  [framework][20:26:59,103-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.validator.ActionValidatorManager) 
  [framework][20:26:59,103-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.ValueStackFactory) 
  [framework][20:26:59,103-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.reflection.ReflectionProvider) 
  [framework][20:26:59,104-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.reflection.ReflectionContextFactory) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.PatternMatcher) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.util.ContentTypeMatcher) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.dispatcher.StaticContentLoader) 
  [framework][20:26:59,106-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.UnknownHandlerManager) 
